call_oi,call_chng_oi,call_volume,call_iv,call_ltp,call_net_chng,call_bid_qty,call_bid_price,call_ask_price,call_ask_qty,strike,put_bid_qty,put_bid_price,put_ask_price,put_ask_qty,put_net_chng,put_ltp,put_iv,put_volume,put_chng_oi,put_oi,asset,expiry_date
26.0,0.0,0.0,20.765,3181.25,,900.0,4136.3,,,51100,600.0,269.5,,,,1732.25,27.085,0.0,0.0,37.0,BANKNIFTY,26-May-2026
31.0,-1.0,1.0,20.939999999999998,5106.8,2139.35,900.0,3987.3,5751.45,870.0,51200,,,513.8,60.0,-920.1,435.5,26.98,85.0,-6.0,53.0,BANKNIFTY,26-May-2026
28.0,-5.0,14.0,21.115,5060.85,1913.55,30.0,3907.65,5874.45,870.0,51300,1200.0,301.6,,,-21.2,1414.1,26.833333333333332,0.0,0.0,80.0,BANKNIFTY,26-May-2026
29.0,-1.0,1.0,21.29,5200.0,2072.65,30.0,4970.15,5854.55,870.0,51400,1200.0,318.75,450.0,30.0,-62.9,1441.25,26.686666666666667,0.0,0.0,48.0,BANKNIFTY,26-May-2026
124.0,-74.0,104.0,17.84,4998.4,1977.45,60.0,4922.3,5968.65,30.0,51500,30.0,430.05,603.0,60.0,-974.45,466.6,26.54,1029.0,263.0,541.0,BANKNIFTY,26-May-2026
29.0,-12.0,12.0,19.03,4635.65,1785.65,900.0,3646.8,5430.5,870.0,51600,600.0,355.25,,,,1936.0,27.665,0.0,0.0,61.0,BANKNIFTY,26-May-2026
36.0,-6.0,10.0,20.22,4900.05,2108.25,900.0,3611.1,5191.7,870.0,51700,,,567.5,300.0,-1070.3,622.0,28.79,1.0,0.0,76.0,BANKNIFTY,26-May-2026
45.0,-6.0,10.0,20.92,4841.75,2319.9,30.0,4642.8,5072.35,870.0,51800,,,560.0,300.0,,1663.2,27.549999999999997,0.0,0.0,42.0,BANKNIFTY,26-May-2026
23.0,-10.0,21.0,18.31,4656.25,1871.5,30.0,4551.45,5065.2,870.0,51900,,,581.15,60.0,-1030.9,531.05,26.31,19.0,-13.0,33.0,BANKNIFTY,26-May-2026
1511.0,-525.0,998.0,20.67,4661.7,1947.85,30.0,4657.05,4710.0,30.0,52000,30.0,525.15,534.95,60.0,-1065.15,533.7,25.97,3083.0,62.0,1730.0,BANKNIFTY,26-May-2026
40.0,-5.0,8.0,15.27,4382.8,1745.55,60.0,4379.65,4879.7,930.0,52100,,,599.95,60.0,-1183.45,560.75,26.09,6.0,-6.0,54.0,BANKNIFTY,26-May-2026
38.0,-3.0,6.0,18.92,4419.3,1898.9,30.0,4300.45,4756.25,870.0,52200,,,628.2,60.0,-1090.2,570.1,25.88,9.0,-3.0,38.0,BANKNIFTY,26-May-2026
53.0,-6.0,10.0,19.78,4371.3,2511.1,60.0,4239.3,4724.2,870.0,52300,30.0,396.2,661.2,30.0,-1141.05,573.6,25.55,64.0,-24.0,35.0,BANKNIFTY,26-May-2026
32.0,-1.0,2.0,17.3,4183.5,1726.8,30.0,4114.9,4580.7,870.0,52400,,,663.8,30.0,-1149.15,589.1,25.44,53.0,-15.0,39.0,BANKNIFTY,26-May-2026
284.0,-124.0,227.0,21.16,4271.95,1876.2,120.0,4063.9,4375.5,60.0,52500,60.0,557.75,607.65,30.0,-1179.4,598.7,25.21,744.0,-42.0,429.0,BANKNIFTY,26-May-2026
26.0,-31.0,42.0,14.16,3898.5,1565.75,30.0,2929.45,4749.55,30.0,52600,,,779.2,60.0,-1269.65,620.35,25.19,98.0,-28.0,42.0,BANKNIFTY,26-May-2026
42.0,-5.0,24.0,19.25,4016.1,1754.1,120.0,3900.1,4448.8,30.0,52700,,,743.75,240.0,-1365.35,743.75,26.87,23.0,-1.0,58.0,BANKNIFTY,26-May-2026
115.0,-21.0,33.0,15.01,3750.0,1496.05,900.0,2518.75,4316.0,870.0,52800,,,764.35,2040.0,-1387.65,767.7,26.84,13.0,-4.0,63.0,BANKNIFTY,26-May-2026
28.0,-11.0,20.0,17.9,3470.9,1281.15,90.0,3731.3,4656.8,870.0,52900,30.0,655.6,712.7,60.0,-1210.15,744.35,26.04,34.0,-6.0,64.0,BANKNIFTY,26-May-2026
655.0,-363.0,617.0,20.79,3856.3,1746.9,120.0,3801.8,3856.3,90.0,53000,30.0,680.0,686.75,30.0,-1301.55,681.9,24.6,1634.0,375.0,889.0,BANKNIFTY,26-May-2026
28.0,-13.0,16.0,16.29,3547.15,1464.0,60.0,2420.3,4084.25,60.0,53100,,,938.05,60.0,-1389.8,752.2,25.33,27.0,-5.0,57.0,BANKNIFTY,26-May-2026
37.0,-19.0,27.0,18.9,3596.9,1600.7,30.0,3502.0,3892.9,60.0,53200,,,954.45,60.0,-1261.25,793.45,25.55,36.0,-29.0,47.0,BANKNIFTY,26-May-2026
115.0,-5.0,8.0,18.82,3514.2,1580.95,60.0,2248.95,4579.3,900.0,53300,,,963.9,60.0,-1485.85,759.6,24.59,12.0,-8.0,36.0,BANKNIFTY,26-May-2026
26.0,-14.0,14.0,14.87,3232.7,1334.15,900.0,2234.2,,,53400,,,978.65,870.0,,2238.35,24.3,0.0,0.0,59.0,BANKNIFTY,26-May-2026
214.0,-160.0,272.0,19.87,3421.55,1583.15,60.0,3258.1,3639.25,60.0,53500,30.0,750.05,848.2,60.0,-1426.35,777.5,24.01,568.0,89.0,248.0,BANKNIFTY,26-May-2026
35.0,-32.0,43.0,16.46,3150.65,1752.5,60.0,3209.85,3699.35,60.0,53600,60.0,675.65,1009.7,30.0,-1540.1,825.0,24.3,20.0,-7.0,53.0,BANKNIFTY,26-May-2026
137.0,0.0,0.0,17.325000000000003,1764.95,,,,3509.15,270.0,53700,60.0,697.4,878.95,30.0,-1662.45,825.55,23.87,207.0,-12.0,53.0,BANKNIFTY,26-May-2026
143.0,0.0,0.0,18.19,1520.0,,,,3891.65,300.0,53800,60.0,713.05,1039.15,60.0,-1482.65,852.0,23.82,71.0,-3.0,47.0,BANKNIFTY,26-May-2026
33.0,0.0,0.0,19.055,1555.2,,,,3520.4,240.0,53900,60.0,736.55,1065.65,60.0,-1482.0,920.25,24.38,171.0,-8.0,64.0,BANKNIFTY,26-May-2026
1111.0,-533.0,997.0,19.92,3060.0,1470.95,30.0,3048.05,3098.95,30.0,54000,60.0,872.65,892.7,60.0,-1541.8,898.65,23.61,2734.0,-24.0,1242.0,BANKNIFTY,26-May-2026
36.0,4.0,15.0,21.07,3067.05,1712.05,30.0,2804.65,3695.35,390.0,54100,,,1230.3,60.0,-1534.8,921.0,23.47,16.0,0.0,48.0,BANKNIFTY,26-May-2026
23.0,-2.0,3.0,18.77,2843.05,1441.05,60.0,2739.6,3952.05,330.0,54200,,,1282.75,300.0,,2537.5,23.314999999999998,0.0,0.0,41.0,BANKNIFTY,26-May-2026
17.0,-2.0,13.0,18.06,2726.3,1283.05,30.0,2698.5,3071.9,30.0,54300,,,,,,2921.95,23.16,0.0,0.0,31.0,BANKNIFTY,26-May-2026
64.0,0.0,0.0,18.77,1193.45,,,,2997.05,300.0,54400,,,1162.55,300.0,,2963.9,23.005000000000003,0.0,0.0,18.0,BANKNIFTY,26-May-2026
153.0,-25.0,622.0,19.48,2685.7,1332.15,60.0,2593.5,2783.5,30.0,54500,30.0,1010.05,1034.95,60.0,-1839.95,1010.05,22.85,658.0,180.0,346.0,BANKNIFTY,26-May-2026
21.0,-2.0,15.0,18.9,2578.9,1291.55,30.0,2495.8,2841.6,30.0,54600,60.0,661.0,1101.2,60.0,-2059.95,1016.85,22.46,119.0,18.0,62.0,BANKNIFTY,26-May-2026
79.0,48.0,176.0,19.04,2522.85,1216.95,60.0,2432.15,2766.7,60.0,54700,60.0,895.15,1232.45,60.0,-2409.2,1147.65,23.75,66.0,22.0,52.0,BANKNIFTY,26-May-2026
81.0,43.0,95.0,16.25,2258.7,1099.75,30.0,2368.0,2785.8,870.0,54800,60.0,933.55,1282.8,60.0,-2046.5,1140.85,23.16,165.0,86.0,112.0,BANKNIFTY,26-May-2026
41.0,-22.0,208.0,19.58,2433.7,1317.2,30.0,2314.4,2610.65,30.0,54900,60.0,739.9,1251.55,60.0,-2102.4,1134.95,22.58,200.0,87.0,101.0,BANKNIFTY,26-May-2026
2893.0,114.0,4265.0,19.51,2366.0,1228.4,30.0,2340.0,2366.0,30.0,55000,30.0,1150.0,1167.0,60.0,-1791.55,1163.85,22.45,2236.0,678.0,1098.0,BANKNIFTY,26-May-2026
60.0,38.0,184.0,18.82,2252.2,1703.35,300.0,1124.15,2732.15,300.0,55100,30.0,1143.0,1265.25,60.0,-2182.7,1181.0,22.16,92.0,47.0,56.0,BANKNIFTY,26-May-2026
70.0,30.0,68.0,18.59,2173.4,1116.25,30.0,1057.15,2685.0,30.0,55200,30.0,1202.35,1349.95,30.0,-1849.85,1222.35,22.19,210.0,69.0,76.0,BANKNIFTY,26-May-2026
74.0,49.0,402.0,19.0,2145.0,1159.7,30.0,1799.25,2311.8,30.0,55300,60.0,1063.35,1544.45,60.0,-2959.2,1253.95,22.07,100.0,61.0,68.0,BANKNIFTY,26-May-2026
80.0,49.0,327.0,18.93,2080.35,1109.0,30.0,1891.15,2610.05,60.0,55400,30.0,1064.55,1477.6,300.0,-2237.35,1306.15,22.21,135.0,70.0,77.0,BANKNIFTY,26-May-2026
412.0,191.0,1095.0,18.9,2020.0,1092.9,60.0,2001.1,2034.0,30.0,55500,30.0,1300.0,1363.15,60.0,-1972.5,1300.85,21.6,794.0,239.0,347.0,BANKNIFTY,26-May-2026
69.0,31.0,219.0,18.73,1949.2,1162.35,60.0,1671.0,2141.6,60.0,55600,60.0,1335.95,1513.1,60.0,-3778.05,1335.95,21.5,133.0,51.0,57.0,BANKNIFTY,26-May-2026
61.0,32.0,161.0,18.68,1889.0,1009.05,60.0,1709.65,2381.25,60.0,55700,60.0,1074.95,1547.4,60.0,-2307.45,1397.7,21.73,135.0,59.0,69.0,BANKNIFTY,26-May-2026
78.0,-2.0,149.0,15.85,1611.3,851.3,60.0,1799.6,2017.35,60.0,55800,60.0,941.65,2163.85,300.0,-2849.5,1422.0,21.47,90.0,41.0,48.0,BANKNIFTY,26-May-2026
63.0,34.0,110.0,18.51,1766.35,1186.25,60.0,1265.95,2140.0,60.0,55900,60.0,1154.9,1632.2,60.0,-2365.0,1485.15,21.69,134.0,50.0,53.0,BANKNIFTY,26-May-2026
1218.0,-268.0,3262.0,18.31,1697.25,916.55,60.0,1650.85,1720.65,30.0,56000,30.0,1492.5,1506.35,60.0,-2045.0,1503.0,21.33,962.0,295.0,504.0,BANKNIFTY,26-May-2026
80.0,19.0,90.0,18.48,1658.65,870.65,30.0,1320.2,1843.05,60.0,56100,60.0,1322.8,1617.6,60.0,-2394.4,1570.6,21.59,144.0,76.0,80.0,BANKNIFTY,26-May-2026
61.0,16.0,125.0,18.41,1602.0,916.05,60.0,1043.25,1790.2,60.0,56200,60.0,1088.2,1770.1,60.0,-3435.3,1584.55,21.16,73.0,33.0,44.0,BANKNIFTY,26-May-2026
72.0,21.0,102.0,18.91,1592.75,880.35,60.0,1211.85,1592.7,210.0,56300,60.0,1390.0,1816.75,60.0,-2477.7,1625.2,21.05,144.0,67.0,70.0,BANKNIFTY,26-May-2026
63.0,7.0,96.0,17.94,1465.05,808.55,60.0,1476.6,1687.45,60.0,56400,,,1852.8,60.0,-2383.15,1662.15,20.89,127.0,73.0,91.0,BANKNIFTY,26-May-2026
564.0,41.0,937.0,18.03,1425.0,809.7,60.0,1415.05,1436.1,60.0,56500,60.0,1555.5,1790.8,60.0,-3003.65,1723.1,21.01,306.0,123.0,171.0,BANKNIFTY,26-May-2026
57.0,2.0,2.0,17.61,1344.0,766.45,60.0,1050.05,2350.0,60.0,56600,,,2470.2,60.0,-2485.1,1822.35,21.6,5.0,5.0,13.0,BANKNIFTY,26-May-2026
51.0,0.0,0.0,17.596666666666668,543.7,-1.8,30.0,1000.05,1600.0,30.0,56700,30.0,1215.95,2554.7,30.0,-4171.4,1843.4,21.21,27.0,22.0,27.0,BANKNIFTY,26-May-2026
60.0,0.0,0.0,17.583333333333332,520.35,1.45,30.0,520.35,1600.0,30.0,56800,60.0,1565.95,2582.8,30.0,-3586.3,1854.5,20.68,61.0,44.0,48.0,BANKNIFTY,26-May-2026
164.0,74.0,220.0,17.57,1206.55,710.45,60.0,785.1,1417.4,60.0,56900,,,2623.25,60.0,-2434.0,1966.0,21.39,6.0,6.0,15.0,BANKNIFTY,26-May-2026
3628.0,155.0,4171.0,17.65,1170.0,698.8,60.0,1156.25,1174.0,30.0,57000,60.0,1821.45,1954.7,60.0,-2305.35,1941.35,20.39,841.0,21.0,1969.0,BANKNIFTY,26-May-2026
93.0,24.0,35.0,17.6,1124.9,663.35,60.0,831.5,1312.35,60.0,57100,,,2829.25,870.0,-4242.4,2074.55,21.35,5.0,5.0,9.0,BANKNIFTY,26-May-2026
72.0,2.0,2.0,16.95,1033.0,604.65,60.0,672.75,1488.2,870.0,57200,,,2896.8,870.0,-2628.4,2121.55,21.22,2.0,1.0,7.0,BANKNIFTY,26-May-2026
90.0,39.0,61.0,17.5,1036.8,618.85,60.0,675.1,1209.65,60.0,57300,,,3051.15,870.0,3.55,6403.9,20.80333333333333,0.0,0.0,6.0,BANKNIFTY,26-May-2026
97.0,46.0,68.0,17.3,982.9,633.75,60.0,958.55,1012.9,60.0,57400,,,3142.75,870.0,,6631.85,20.386666666666667,0.0,0.0,6.0,BANKNIFTY,26-May-2026
650.0,317.0,1587.0,17.23,940.1,556.15,60.0,939.1,956.9,60.0,57500,60.0,2109.45,2254.7,30.0,-2430.7,2199.3,19.97,58.0,31.0,284.0,BANKNIFTY,26-May-2026
70.0,26.0,73.0,16.91,879.35,529.2,30.0,880.05,1195.45,60.0,57600,,,3343.75,870.0,4.7,6942.15,20.939999999999998,0.0,0.0,6.0,BANKNIFTY,26-May-2026
113.0,42.0,152.0,17.17,864.85,519.75,60.0,593.15,1019.0,60.0,57700,,,3257.8,870.0,-4261.0,2474.1,21.91,1.0,1.0,8.0,BANKNIFTY,26-May-2026
118.0,31.0,268.0,17.09,824.35,484.35,60.0,756.05,834.0,60.0,57800,,,3379.3,870.0,,6830.85,21.266666666666666,0.0,0.0,5.0,BANKNIFTY,26-May-2026
144.0,31.0,300.0,16.94,780.65,477.4,60.0,541.65,1500.0,30.0,57900,,,3404.9,870.0,4.75,7210.4,20.623333333333335,0.0,0.0,6.0,BANKNIFTY,26-May-2026
4246.0,2294.0,6350.0,16.89,745.0,446.45,60.0,734.05,749.4,60.0,58000,30.0,2259.85,2519.6,30.0,-2485.05,2514.95,19.98,1220.0,362.0,2971.0,BANKNIFTY,26-May-2026
